DY
189
23
Life expectancy at birth 2019;Expected years of schooling 2019;Mean years of schooling 2019;Gross national income (GNI) per capita 2019;GNI per capita rank minus HDI rank 2019;Refugees by country of origin 1000s 2019;Internally displaced persons 1000s;Homeless people due to natural disaster avergae per million;Orphaned children 1000s 2019;Prison population per 100k 2013-18;Homicide rate per 100k 2013-18;Suicides per 100K Female 2016;Suicides per 100K Male 2016;HIV prevalence adult % 15-49;Healthy life expectancy at birth;Current health expenditure % GDP;Exports and imports % GDP;Foreign direct investment net inflows  % GDP;Net migration rate per 1000;Lost health expectancy;Physicians per 100k;Hospital beds;Pupil–teacher ratio primary school
Jordan;74.53;11.38;10.52;9858.49;8;2.4;;0;;160.4;1.36;2.7;4.7;0.1;67.97;8.12;87.62;2.25;1.05;13.12;23.24;14.7;18.54;2
Paraguay;74.25;12.71;8.54;12223.94;-4;0.09;;27.54;130;210.3;7.14;6.2;12.3;0.5;66.45;6.65;69.16;1.02;-2.4;13.26;13.54;8.3;24.16;2
Tonga;70.91;14.41;11.24;6364.58;25;0.03;;0;;174.3;;2.9;5.2;;63.91;5.27;98.22;3.34;-7.75;12.43;5.4;;21.63;2
Libya;72.91;12.85;7.6;15687.71;-29;16.04;451;0;99;97.2;;2.3;8.7;0.2;65.32;;118.32;0;-0.3;13.98;20.91;32;;2
Uzbekistan;71.73;12.06;11.81;7141.95;17;3.23;;0;520;144.3;1.14;4.6;10.3;0.2;60.88;6.41;73.02;3.95;-0.28;11.05;23.74;39.8;21.51;2
Bolivia (Plurinational State of);71.51;14.2;9.02;8553.78;9;0.52;0;43.32;280;160.3;6.22;8.9;16.9;0.3;63.11;6.44;56.4;-0.39;-0.84;12.37;15.9;12.9;17.8;2
Indonesia;71.72;13.61;8.17;11459.1;-4;11.09;40;40.38;;95.7;0.43;2.2;5.2;0.4;62.55;2.99;37.3;2.2;-0.37;12.38;4.27;10.4;17.03;2
Philippines;71.23;13.15;9.39;9777.8;4;0.54;182;393.91;2620;182.5;6.46;2.3;5.2;0.1;62.73;4.45;68.61;2.03;-0.63;12.68;6;9.9;29.08;2
Belize;74.62;13.11;9.92;6381.6;18;0.07;;;;344.9;37.79;2;9.9;1.9;65.06;5.64;115.71;6.39;3.16;12.63;11.23;10.4;19.78;2
Samoa;73.32;12.73;10.78;6308.65;19;0;;0;;205.1;3.15;2.2;8.7;;61.82;5.48;91.12;2.04;-14.3;12.3;3.45;10;30.24;2
Turkmenistan;68.19;11.19;10.27;14908.67;-32;0.48;;0;;528.9;;3.7;11;;62.87;6.93;35.16;4.87;-0.86;11.21;22.25;40.3;;2
Venezuela (Bolivarian Republic of);72.06;12.82;10.31;7044.64;11;93.29;;6.23;560;194.2;36.69;1.2;6.6;;65.44;1.18;48.09;0.24;-22.33;12.81;;8.7;;2
