HDI rank 2020,Country,HDI 2019 ,Life expectancy at birth 2019,Expected years of schooling 2019,Mean years of schooling 2019,Gross national income (GNI) per capita 2019,GNI per capita rank minus HDI rank 2019,HDI rank 2018,label,Refugees by country of origin 1000s 2019,Internally displaced persons 1000s,Homeless people due to natural disaster avergae per million,Orphaned children 1000s 2019,Prison population per 100k 2013-18,Homicide rate per 100k 2013-18,Suicides per 100K Female 2016,Suicides per 100K Male 2016,"HIV prevalence, adult % 15-49",Healthy life expectancy at birth,Current health expenditure % GDP,Exports and imports % GDP,"Foreign direct investment, net inflows  % GDP",Net migration rate per 1000,Lost health expectancy %,Physicians per 100k,Hospital beds,"Pupil–teacher ratio, primary school"
121.00,Morocco,0.69,76.68,13.72,5.65,7368.36,1.00,121.00,3.00,4.65,..,0.00,350.00,232.50,1.42,3.60,2.50,0.10,63.83,5.25,87.46,1.35,-1.44,12.98,7.31,10.00,26.80
122.00,Guyana,0.68,69.91,11.43,8.49,9455.01,-10.00,121.00,3.00,0.29,..,0.00,24.00,275.20,14.25,14.20,46.60,1.40,58.37,4.95,79.08,30.43,-7.72,13.28,8.02,17.10,23.16
123.00,Iraq,0.67,70.60,11.27,7.32,10800.84,-16.00,123.00,3.00,343.85,1555.00,5.31,..,105.00,10.07,3.40,4.70,..,63.38,4.17,76.37,-1.29,0.21,13.49,7.08,13.20,16.96
124.00,El Salvador,0.67,73.32,11.69,6.91,8359.12,-6.00,124.00,3.00,41.85,..,257.59,170.00,617.40,52.02,4.30,24.80,0.60,65.53,7.23,77.18,2.68,-6.33,13.45,15.66,12.00,26.89
125.00,Tajikistan,0.67,71.10,11.66,10.73,3953.60,25.00,126.00,3.00,2.00,..,17.09,180.00,..,..,1.70,5.00,0.20,61.84,7.23,56.64,2.62,-2.22,11.10,21.03,46.70,22.30
126.00,Cabo Verde,0.67,72.98,12.70,6.29,7019.17,-1.00,125.00,3.00,0.01,..,0.00,8.40,288.10,6.80,7.70,24.10,0.60,64.62,5.17,116.21,5.31,-2.48,12.37,7.81,21.00,21.07
127.00,Guatemala,0.66,74.30,10.75,6.62,8494.09,-10.00,128.00,3.00,22.77,242.00,353.49,410.00,140.90,22.50,1.70,4.40,0.40,62.91,5.81,45.87,1.26,-0.54,13.32,3.55,4.40,20.26
128.00,Nicaragua,0.66,74.49,12.32,6.91,5283.66,6.00,127.00,3.00,4.38,..,2.22,110.00,323.50,7.19,5.00,19.20,0.20,65.78,8.65,95.08,2.75,-3.31,12.74,9.78,9.30,30.22
129.00,Bhutan,0.65,71.78,12.98,4.07,10745.84,-21.00,131.00,3.00,6.99,..,0.00,..,155.60,1.19,8.90,13.80,0.30,63.23,3.19,86.71,0.11,0.43,13.58,4.24,17.40,34.67
130.00,Namibia,0.65,63.71,12.63,6.99,9356.67,-17.00,129.00,3.00,0.46,..,..,140.00,313.80,..,4.90,19.40,11.80,56.77,8.55,83.48,-0.10,-1.98,12.96,4.18,27.00,25.09
131.00,India,0.65,69.66,12.16,6.50,6681.35,-5.00,130.00,3.00,11.99,470.00,296.65,..,32.70,3.08,14.50,18.50,..,60.52,3.53,40.02,1.76,-0.40,14.48,8.57,5.30,32.75
